order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
order_00001,1,prod_018,seller_00,2017-09-06 21:00:00,211.03,22.73
order_00002,1,prod_003,seller_04,2017-09-06 16:00:00,67.56,5.46
order_00002,2,prod_005,seller_00,2017-09-06 16:00:00,265.76,28.74
order_00003,1,prod_017,seller_03,2017-09-11 09:00:00,85.76,10.95
order_00003,2,prod_014,seller_02,2017-09-11 09:00:00,162.35,12.98
order_00004,1,prod_019,seller_00,2017-09-08 16:00:00,157.41,9.73
order_00004,2,prod_010,seller_01,2017-09-08 16:00:00,148.35,21.26
order_00004,3,prod_002,seller_04,2017-09-08 16:00:00,149.4,16.03
order_00005,1,prod_008,seller_03,2017-09-10 15:00:00,272.79,32.65
order_00006,1,prod_011,seller_00,2017-09-08 18:00:00,236.41,34.06
order_00007,1,prod_012,seller_03,2017-09-09 08:00:00,242.82,34.4
order_00008,1,prod_008,seller_05,2017-09-09 16:00:00,279.88,25.62
order_00008,2,prod_012,seller_01,2017-09-09 16:00:00,130.84,8.52
order_00009,1,prod_000,seller_01,2017-09-07 08:00:00,102.51,9.42
order_00010,1,prod_001,seller_03,2017-09-07 19:00:00,224.48,31.42
order_00010,2,prod_017,seller_03,2017-09-07 19:00:00,255.09,22.91
order_00010,3,prod_015,seller_05,2017-09-07 19:00:00,141.27,12.72
order_00011,1,prod_000,seller_04,2017-09-09 10:00:00,40.51,2.64
order_00011,2,prod_011,seller_04,2017-09-09 10:00:00,54.93,2.89
order_00012,1,prod_003,seller_03,2017-09-11 12:00:00,164.87,24.62
order_00013,1,prod_005,seller_04,2017-09-06 10:00:00,103.1,5.39
order_00013,2,prod_016,seller_02,2017-09-06 10:00:00,305.54,19.76
order_00013,3,prod_000,seller_04,2017-09-06 10:00:00,185.24,14.78
order_00014,1,prod_010,seller_05,2017-09-07 13:00:00,254.82,18.42
order_00014,2,prod_006,seller_01,2017-09-07 13:00:00,264.4,34.86
order_00015,1,prod_006,seller_05,2017-09-08 19:00:00,164.31,18.16
order_00016,1,prod_015,seller_01,2017-09-11 13:00:00,55.14,4.62
order_00017,1,prod_002,seller_05,2017-09-10 21:00:00,126.48,7.84
order_00017,2,prod_006,seller_03,2017-09-10 21:00:00,139.62,19.39
order_00017,3,prod_010,seller_00,2017-09-10 21:00:00,153.01,19.9
order_00018,1,prod_018,seller_03,2017-09-06 19:00:00,33.13,4.33
order_00019,1,prod_000,seller_00,2017-09-09 18:00:00,186.74,24.26
order_00019,2,prod_003,seller_04,2017-09-09 18:00:00,239.28,29.9
order_00020,1,prod_016,seller_01,2017-09-07 21:00:00,87.77,11.09
order_00021,1,prod_016,seller_03,2017-09-12 10:00:00,220.43,29.25
order_00021,2,prod_004,seller_04,2017-09-12 10:00:00,284.06,18.52
order_00022,1,prod_003,seller_04,2017-09-10 08:00:00,164.68,9.25
order_00023,1,prod_017,seller_00,2017-09-14 11:00:00,174.78,22.02
order_00024,1,prod_016,seller_04,2017-09-17 17:00:00,106.77,13.96
order_00024,2,prod_007,seller_05,2017-09-17 17:00:00,174.79,17.88
order_00024,3,prod_008,seller_04,2017-09-17 17:00:00,283.41,39.47
order_00025,1,prod_013,seller_00,2017-09-13 14:00:00,222.99,15.89
order_00026,1,prod_004,seller_03,2017-09-14 19:00:00,99.67,7.17
order_00027,1,prod_016,seller_03,2017-09-14 18:00:00,152.3,12.78
order_00027,2,prod_010,seller_00,2017-09-14 18:00:00,82.74,10.11
order_00027,3,prod_017,seller_03,2017-09-14 18:00:00,30.75,2.89
order_00028,1,prod_007,seller_00,2017-09-17 12:00:00,315.6,18.43
order_00029,1,prod_008,seller_03,2017-09-14 12:00:00,266.6,17.31
order_00029,2,prod_018,seller_03,2017-09-14 12:00:00,296.16,35.55
order_00029,3,prod_001,seller_05,2017-09-14 12:00:00,51.39,3.51
order_00030,1,prod_002,seller_02,2017-09-18 09:00:00,277.59,37.83
order_00030,2,prod_010,seller_04,2017-09-18 09:00:00,158.86,14.58
order_00031,1,prod_005,seller_01,2017-09-17 19:00:00,102.26,14.65
order_00032,1,prod_000,seller_02,2017-09-15 15:00:00,127.37,6.84
order_00033,1,prod_013,seller_05,2017-09-14 16:00:00,56.35,5.61
order_00033,2,prod_012,seller_04,2017-09-14 16:00:00,271.21,21.91
order_00034,1,prod_001,seller_01,2017-09-19 19:00:00,316.88,16.3
order_00034,2,prod_008,seller_03,2017-09-19 19:00:00,209.51,13.9
order_00035,1,prod_014,seller_01,2017-09-18 12:00:00,111.45,7.33
order_00035,2,prod_008,seller_02,2017-09-18 12:00:00,156.52,22.88
order_00035,3,prod_017,seller_02,2017-09-18 12:00:00,311.92,23.22
order_00036,1,prod_006,seller_01,2017-09-13 13:00:00,107.28,10.78
order_00036,2,prod_008,seller_00,2017-09-13 13:00:00,26.46,1.7
order_00037,1,prod_004,seller_05,2017-09-15 18:00:00,307.5,42.83
order_00037,2,prod_019,seller_03,2017-09-15 18:00:00,256.29,32.4
order_00038,1,prod_013,seller_05,2017-09-17 18:00:00,288.12,34.6
order_00038,2,prod_016,seller_04,2017-09-17 18:00:00,174.13,18.61
order_00038,3,prod_000,seller_05,2017-09-17 18:00:00,264.81,28.71
order_00039,1,prod_017,seller_00,2017-09-14 18:00:00,271.57,30.63
order_00039,2,prod_007,seller_03,2017-09-14 18:00:00,209.74,16.02
order_00040,1,prod_015,seller_02,2017-09-17 16:00:00,244.99,32.07
order_00041,1,prod_002,seller_03,2017-09-14 11:00:00,274.43,38.71
order_00041,2,prod_001,seller_04,2017-09-14 11:00:00,109.76,12.43
order_00042,1,prod_000,seller_03,2017-09-15 12:00:00,192.49,10.79
order_00042,2,prod_003,seller_05,2017-09-15 12:00:00,104.29,7.48
order_00043,1,prod_017,seller_01,2017-09-15 15:00:00,318.02,25.81
order_00044,1,prod_006,seller_00,2017-09-20 21:00:00,139.12,15.05
order_00045,1,prod_011,seller_01,2017-09-22 10:00:00,286.62,28.6
order_00046,1,prod_004,seller_03,2017-09-20 15:00:00,114.08,9.63
order_00046,2,prod_010,seller_00,2017-09-20 15:00:00,118.24,9.75
order_00047,1,prod_012,seller_03,2017-09-21 19:00:00,134.81,20.21
order_00048,1,prod_009,seller_05,2017-09-26 12:00:00,40.23,5.78
order_00049,1,prod_012,seller_04,2017-09-22 11:00:00,264.53,27.76
