order_id,payment_sequential,payment_type,payment_installments,payment_value
order_00001,1,voucher,1,233.76
order_00002,1,credit_card,2,367.52
order_00003,1,credit_card,1,272.04
order_00004,1,boleto,2,502.18
order_00005,1,credit_card,1,305.44
order_00006,1,boleto,1,270.47
order_00007,1,voucher,1,277.22
order_00008,1,credit_card,1,444.86
order_00009,1,boleto,6,111.93
order_00010,1,credit_card,1,687.89
order_00011,1,credit_card,6,100.97
order_00012,1,voucher,3,189.49
order_00013,1,credit_card,2,633.81
order_00014,1,credit_card,1,572.5
order_00015,1,boleto,3,182.47
order_00016,1,voucher,6,59.76
order_00017,1,voucher,3,466.24
order_00018,1,credit_card,6,37.46
order_00019,1,credit_card,3,480.18
order_00020,1,boleto,2,98.86
order_00021,1,credit_card,3,552.26
order_00022,1,voucher,1,173.93
order_00023,1,credit_card,3,196.8
order_00024,1,credit_card,3,636.28
order_00025,1,boleto,1,238.88
order_00026,1,credit_card,3,106.84
order_00027,1,credit_card,3,291.57
order_00028,1,boleto,1,334.03
order_00029,1,credit_card,2,670.52
order_00030,1,boleto,6,488.86
order_00031,1,boleto,6,116.91
order_00032,1,credit_card,6,134.21
order_00033,1,credit_card,1,355.08
order_00034,1,credit_card,3,556.59
order_00035,1,boleto,1,633.32
order_00036,1,credit_card,3,146.22
order_00037,1,voucher,1,639.02
order_00038,1,credit_card,1,808.98
order_00039,1,voucher,1,527.96
order_00040,1,boleto,1,277.06
order_00041,1,credit_card,1,435.33
order_00042,1,voucher,2,315.05
order_00043,1,credit_card,3,343.83
order_00044,1,credit_card,6,154.17
order_00045,1,voucher,3,315.22
order_00046,1,boleto,3,251.7
order_00047,1,credit_card,2,155.02
order_00048,1,credit_card,2,46.01
order_00049,1,credit_card,1,292.29
order_00050,1,boleto,3,647.17
order_00051,1,voucher,6,79.62
order_00052,1,credit_card,2,199.19
order_00053,1,credit_card,3,268.65
order_00054,1,credit_card,3,568.61
order_00055,1,credit_card,3,37.93
order_00056,1,credit_card,3,272.71
order_00057,1,credit_card,2,216.42
order_00058,1,credit_card,6,123.69
order_00059,1,credit_card,1,237.23
order_00060,1,voucher,2,88.49
order_00061,1,credit_card,1,255.72
order_00062,1,credit_card,6,291.57
order_00063,1,credit_card,1,220.29
order_00064,1,voucher,1,134.36
order_00065,1,voucher,1,449.39
order_00066,1,voucher,1,131.77
order_00067,1,boleto,6,266.63
order_00068,1,credit_card,1,129.04
order_00069,1,credit_card,6,459.57
order_00070,1,credit_card,1,189.16
order_00071,1,credit_card,3,334.89
order_00072,1,credit_card,2,158.84
order_00073,1,credit_card,1,258.31
order_00074,1,credit_card,1,310.54
order_00075,1,credit_card,1,149.68
order_00076,1,boleto,1,143.19
order_00077,1,voucher,1,336.75
order_00078,1,boleto,2,234.43
order_00079,1,voucher,3,163.99
order_00080,1,voucher,1,303.93
order_00081,1,credit_card,2,213.49
order_00082,1,voucher,1,500.32
order_00083,1,boleto,1,249.4
order_00084,1,boleto,3,376.13
order_00085,1,voucher,1,528.12
order_00086,1,credit_card,1,167.3
order_00087,1,credit_card,1,45.74
order_00088,1,credit_card,1,73.13
order_00089,1,voucher,1,308.11
order_00090,1,boleto,2,38.24
order_00091,1,voucher,2,268.87
order_00092,1,credit_card,2,267.53
order_00093,1,credit_card,1,573.84
order_00094,1,voucher,1,365.61
order_00095,1,boleto,6,211.65
order_00096,1,credit_card,3,77.84
order_00097,1,credit_card,6,402.84
order_00098,1,boleto,2,439.83
order_00099,1,credit_card,1,651.71
order_00100,1,credit_card,6,303.38
order_00101,1,credit_card,1,201.96
order_00102,1,credit_card,1,39.41
order_00103,1,voucher,1,472.05
order_00104,1,boleto,2,125.36
order_00105,1,credit_card,2,470.08
order_00106,1,credit_card,3,667.79
order_00107,1,credit_card,2,340.52
order_00108,1,credit_card,2,340.8
order_00109,1,credit_card,3,416.89
order_00110,1,boleto,6,483.95
order_00111,1,boleto,1,324.76
order_00112,1,credit_card,2,336.21
order_00113,1,boleto,3,694.9
order_00114,1,voucher,1,269.74
order_00115,1,boleto,1,246.51
order_00116,1,voucher,6,289.91
order_00117,1,credit_card,1,147.19
order_00118,1,voucher,1,207.6
order_00119,1,boleto,6,610.63
order_00120,1,credit_card,1,401.3
order_00121,1,credit_card,2,270.47
order_00122,1,credit_card,2,152.35
order_00123,1,boleto,6,296.98
order_00124,1,credit_card,3,232.1
order_00125,1,boleto,1,228.74
order_00126,1,credit_card,3,457.94
order_00127,1,boleto,3,302.04
order_00128,1,voucher,1,575.08
order_00129,1,boleto,2,407.47
order_00130,1,credit_card,2,315.14
order_00131,1,voucher,6,480.49
order_00132,1,voucher,1,392.49
order_00133,1,credit_card,2,335.07
order_00134,1,credit_card,3,132.53
order_00135,1,credit_card,3,502.57
order_00136,1,credit_card,1,303.85
order_00137,1,credit_card,1,266.47
order_00138,1,credit_card,3,499.94
order_00139,1,credit_card,2,235.44
order_00140,1,boleto,6,490.23
order_00141,1,voucher,6,215.0
order_00142,1,voucher,2,537.26
order_00143,1,voucher,3,285.86
order_00144,1,boleto,3,314.73
order_00145,1,boleto,3,86.74
order_00146,1,boleto,2,436.17
order_00147,1,credit_card,2,473.02
order_00148,1,voucher,3,36.0
order_00149,1,credit_card,1,252.49
order_00150,1,credit_card,6,420.22
order_00151,1,credit_card,3,517.85
order_00152,1,credit_card,1,485.5
order_00153,1,voucher,1,329.04
order_00154,1,credit_card,3,329.21
order_00155,1,credit_card,2,35.21
order_00156,1,credit_card,6,357.45
order_00157,1,credit_card,3,174.19
order_00158,1,boleto,6,354.7
order_00159,1,credit_card,1,140.66
order_00160,1,boleto,1,227.08
order_00161,1,boleto,2,331.31
order_00162,1,boleto,1,451.12
order_00163,1,boleto,1,188.54
order_00164,1,credit_card,1,618.0
order_00165,1,credit_card,2,123.09
order_00166,1,voucher,3,160.2
order_00167,1,credit_card,1,160.47
order_00168,1,credit_card,3,329.35
order_00169,1,credit_card,2,461.72
order_00170,1,voucher,1,319.17
order_00171,1,credit_card,6,329.16
order_00172,1,credit_card,1,330.12
order_00173,1,boleto,1,264.49
order_00174,1,boleto,6,463.2
order_00175,1,voucher,1,98.35
order_00176,1,credit_card,6,232.31
order_00177,1,boleto,1,498.99
order_00178,1,credit_card,3,274.16
order_00179,1,boleto,6,187.66
order_00180,1,voucher,2,259.53
order_00181,1,boleto,2,293.06
order_00182,1,voucher,2,328.85
order_00183,1,boleto,3,353.94
order_00184,1,credit_card,1,162.56
order_00185,1,boleto,6,229.39
order_00186,1,credit_card,3,427.48
order_00187,1,credit_card,2,210.71
order_00188,1,boleto,6,211.29
order_00189,1,voucher,3,128.75
order_00190,1,voucher,6,481.24
order_00191,1,credit_card,1,166.28
order_00192,1,credit_card,3,322.65
order_00193,1,boleto,3,81.4
order_00194,1,boleto,6,157.22
order_00195,1,credit_card,1,161.56
order_00196,1,boleto,1,201.16
order_00197,1,voucher,1,327.75
order_00198,1,credit_card,1,201.19
order_00199,1,voucher,1,236.72
order_00200,1,boleto,6,243.93
order_00201,1,boleto,3,100.05
order_00202,1,boleto,3,87.05
order_00203,1,credit_card,3,251.53
order_00204,1,credit_card,6,148.46
order_00205,1,credit_card,2,340.87
order_00206,1,boleto,1,241.96
order_00207,1,voucher,3,123.55
order_00208,1,credit_card,6,355.24
order_00209,1,credit_card,3,268.81
order_00210,1,boleto,1,373.86
order_00211,1,credit_card,2,451.35
order_00212,1,boleto,1,80.35
order_00213,1,credit_card,3,271.56
order_00214,1,boleto,1,141.29
order_00215,1,credit_card,1,123.94
order_00216,1,credit_card,6,146.92
order_00217,1,voucher,1,42.45
order_00218,1,credit_card,1,226.86
order_00219,1,credit_card,1,303.98
order_00220,1,boleto,1,236.22
order_00221,1,voucher,6,179.92
order_00222,1,boleto,3,281.42
order_00223,1,credit_card,6,358.64
order_00224,1,boleto,1,212.12
order_00225,1,credit_card,6,208.65
order_00226,1,credit_card,3,384.09
order_00227,1,credit_card,1,398.48
order_00228,1,boleto,1,254.09
order_00229,1,voucher,1,694.89
order_00230,1,boleto,6,393.59
order_00231,1,credit_card,1,35.54
order_00232,1,boleto,6,459.66
order_00233,1,voucher,3,82.33
order_00234,1,credit_card,2,471.7
order_00235,1,voucher,6,263.04
order_00236,1,boleto,3,629.49
order_00237,1,voucher,3,71.21
order_00238,1,boleto,1,127.92
order_00239,1,voucher,1,225.1
order_00240,1,credit_card,6,287.99
order_00241,1,credit_card,6,254.75
order_00242,1,credit_card,3,269.84
order_00243,1,boleto,3,311.17
order_00244,1,credit_card,3,342.28
order_00245,1,credit_card,2,33.63
order_00246,1,credit_card,2,343.54
order_00247,1,credit_card,6,139.92
order_00248,1,credit_card,1,444.38
order_00249,1,voucher,1,147.54
order_00250,1,credit_card,1,134.51
order_00251,1,credit_card,1,219.1
order_00252,1,boleto,3,144.32
order_00253,1,boleto,1,330.5
order_00254,1,voucher,1,612.69
order_00255,1,credit_card,6,79.68
order_00256,1,credit_card,1,451.62
order_00257,1,credit_card,6,526.86
order_00258,1,credit_card,1,233.81
order_00259,1,boleto,1,156.56
order_00260,1,credit_card,1,518.27
order_00261,1,credit_card,1,304.61
order_00262,1,voucher,1,498.96
order_00263,1,boleto,3,507.57
order_00264,1,boleto,1,302.72
order_00265,1,voucher,1,232.82
order_00266,1,credit_card,2,140.66
order_00267,1,voucher,2,528.68
order_00268,1,boleto,2,220.03
order_00269,1,boleto,3,850.68
order_00270,1,credit_card,6,158.44
order_00271,1,voucher,3,399.4
order_00272,1,credit_card,2,189.89
order_00273,1,credit_card,1,291.68
order_00274,1,credit_card,2,624.4
order_00275,1,voucher,1,416.63
order_00276,1,boleto,3,123.1
order_00277,1,boleto,1,168.45
order_00278,1,voucher,3,291.31
order_00279,1,credit_card,3,599.81
order_00280,1,credit_card,3,353.33
order_00281,1,voucher,2,299.67
order_00282,1,credit_card,1,333.45
order_00283,1,credit_card,3,239.21
order_00284,1,boleto,6,824.78
order_00285,1,credit_card,6,287.32
order_00286,1,boleto,2,83.16
order_00287,1,credit_card,3,271.48
order_00288,1,credit_card,2,255.7
order_00289,1,boleto,6,56.17
order_00290,1,credit_card,6,167.62
order_00291,1,credit_card,1,525.79
order_00292,1,credit_card,2,49.07
order_00293,1,credit_card,1,318.48
order_00294,1,credit_card,1,90.41
order_00295,1,credit_card,2,280.39
order_00296,1,voucher,1,295.32
order_00297,1,credit_card,1,172.57
order_00298,1,credit_card,3,225.67
order_00299,1,credit_card,2,632.41
order_00300,1,boleto,2,180.24
order_00301,1,boleto,6,556.97
order_00302,1,voucher,6,117.93
order_00303,1,boleto,2,820.42
order_00304,1,voucher,1,533.88
order_00305,1,voucher,1,209.17
order_00306,1,boleto,2,337.21
order_00307,1,credit_card,1,326.39
order_00308,1,boleto,3,215.09
order_00309,1,voucher,1,602.83
order_00310,1,credit_card,2,386.49
order_00311,1,credit_card,6,148.48
order_00312,1,credit_card,3,82.34
order_00313,1,voucher,2,460.12
order_00314,1,voucher,3,185.86
order_00315,1,boleto,1,96.2
order_00316,1,credit_card,6,246.16
order_00317,1,credit_card,2,128.65
order_00318,1,credit_card,3,28.03
order_00319,1,credit_card,1,520.98
order_00320,1,boleto,1,431.47
order_00321,1,credit_card,3,241.29
order_00322,1,boleto,1,137.16
order_00323,1,boleto,1,565.17
order_00324,1,boleto,2,211.0
order_00325,1,credit_card,2,620.24
order_00326,1,voucher,3,316.11
order_00327,1,credit_card,1,62.86
order_00328,1,voucher,3,307.74
order_00329,1,credit_card,1,152.91
order_00330,1,credit_card,3,206.12
order_00331,1,credit_card,1,560.96
order_00332,1,voucher,2,86.53
order_00333,1,credit_card,6,582.08
order_00334,1,credit_card,3,238.41
order_00335,1,credit_card,1,241.53
order_00336,1,credit_card,6,266.98
order_00337,1,boleto,3,838.68
order_00338,1,voucher,6,132.08
order_00339,1,boleto,2,31.31
order_00340,1,boleto,3,206.06
order_00341,1,credit_card,1,286.57
order_00342,1,boleto,1,502.98
order_00343,1,credit_card,6,558.26
order_00344,1,voucher,1,270.93
order_00345,1,credit_card,2,652.93
order_00346,1,boleto,2,325.85
order_00347,1,credit_card,2,157.38
