review_id,order_id,review_score,review_creation_date
rev_00001,order_00001,5,2017-09-13 21:00:00
rev_00002,order_00002,3,2017-09-10 16:00:00
rev_00003,order_00003,3,2017-09-18 09:00:00
rev_00004,order_00004,5,2017-09-14 16:00:00
rev_00005,order_00005,5,2017-09-17 15:00:00
rev_00006,order_00006,5,2017-09-15 18:00:00
rev_00007,order_00007,3,2017-09-13 08:00:00
rev_00008,order_00008,4,2017-09-14 16:00:00
rev_00009,order_00009,5,2017-09-13 08:00:00
rev_00010,order_00010,5,2017-09-14 19:00:00
rev_00011,order_00011,4,2017-09-12 10:00:00
rev_00012,order_00012,4,2017-09-16 12:00:00
rev_00013,order_00013,5,2017-09-09 10:00:00
rev_00014,order_00014,5,2017-09-11 13:00:00
rev_00015,order_00015,5,2017-09-11 19:00:00
rev_00016,order_00016,5,2017-09-16 13:00:00
rev_00017,order_00017,4,2017-09-13 21:00:00
rev_00018,order_00018,5,2017-09-10 19:00:00
rev_00019,order_00019,5,2017-09-14 18:00:00
rev_00020,order_00020,5,2017-09-11 21:00:00
rev_00021,order_00021,5,2017-09-15 10:00:00
rev_00022,order_00022,5,2017-09-14 08:00:00
rev_00023,order_00023,4,2017-09-19 11:00:00
rev_00024,order_00024,3,2017-09-24 17:00:00
rev_00025,order_00025,5,2017-09-19 14:00:00
rev_00026,order_00026,5,2017-09-22 19:00:00
rev_00027,order_00027,4,2017-09-18 18:00:00
rev_00028,order_00028,5,2017-09-24 12:00:00
rev_00029,order_00029,5,2017-09-18 12:00:00
rev_00030,order_00030,3,2017-09-23 09:00:00
rev_00031,order_00031,5,2017-09-21 19:00:00
rev_00032,order_00032,5,2017-09-22 15:00:00
rev_00033,order_00033,4,2017-09-20 16:00:00
rev_00034,order_00034,5,2017-09-27 19:00:00
rev_00035,order_00035,4,2017-09-25 12:00:00
rev_00036,order_00036,1,2017-09-19 13:00:00
rev_00037,order_00037,4,2017-09-19 18:00:00
rev_00038,order_00038,2,2017-09-21 18:00:00
rev_00039,order_00039,5,2017-09-19 18:00:00
rev_00040,order_00040,5,2017-09-20 16:00:00
rev_00041,order_00041,5,2017-09-22 11:00:00
rev_00042,order_00042,5,2017-09-23 12:00:00
rev_00043,order_00043,1,2017-09-21 15:00:00
rev_00044,order_00044,4,2017-09-27 21:00:00
rev_00045,order_00045,1,2017-09-29 10:00:00
rev_00046,order_00046,3,2017-09-28 15:00:00
rev_00047,order_00047,5,2017-09-24 19:00:00
rev_00048,order_00048,4,2017-09-29 12:00:00
rev_00049,order_00049,5,2017-09-27 11:00:00
rev_00050,order_00050,5,2017-09-30 15:00:00
rev_00051,order_00051,4,2017-09-29 15:00:00
rev_00052,order_00052,4,2017-09-28 20:00:00
rev_00053,order_00053,4,2017-09-29 20:00:00
rev_00054,order_00054,4,2017-10-02 08:00:00
rev_00055,order_00055,5,2017-09-28 14:00:00
rev_00056,order_00056,3,2017-10-02 16:00:00
rev_00057,order_00057,5,2017-09-29 08:00:00
rev_00058,order_00058,1,2017-09-26 19:00:00
rev_00059,order_00059,5,2017-09-30 12:00:00
rev_00060,order_00060,4,2017-09-30 18:00:00
rev_00061,order_00061,4,2017-09-25 19:00:00
rev_00062,order_00062,3,2017-09-25 12:00:00
rev_00063,order_00063,4,2017-09-27 08:00:00
rev_00064,order_00064,3,2017-09-28 18:00:00
rev_00065,order_00065,2,2017-09-23 12:00:00
rev_00066,order_00066,4,2017-09-28 11:00:00
rev_00067,order_00067,2,2017-09-26 09:00:00
rev_00068,order_00068,5,2017-10-03 19:00:00
rev_00069,order_00069,4,2017-09-28 15:00:00
rev_00070,order_00070,4,2017-10-04 15:00:00
rev_00071,order_00071,4,2017-10-05 13:00:00
rev_00072,order_00072,4,2017-10-06 15:00:00
rev_00073,order_00073,5,2017-10-06 12:00:00
rev_00074,order_00074,2,2017-09-30 09:00:00
rev_00075,order_00075,5,2017-10-08 21:00:00
rev_00076,order_00076,5,2017-10-07 17:00:00
rev_00077,order_00077,5,2017-10-05 11:00:00
rev_00078,order_00078,4,2017-10-06 16:00:00
rev_00079,order_00079,4,2017-10-05 12:00:00
rev_00080,order_00080,3,2017-10-01 14:00:00
rev_00081,order_00081,4,2017-10-01 16:00:00
rev_00082,order_00082,5,2017-10-04 10:00:00
rev_00083,order_00083,3,2017-10-05 19:00:00
rev_00084,order_00084,4,2017-10-06 21:00:00
rev_00085,order_00085,5,2017-10-04 14:00:00
rev_00086,order_00086,5,2017-10-03 09:00:00
rev_00087,order_00087,5,2017-10-02 19:00:00
rev_00088,order_00088,2,2017-10-09 19:00:00
rev_00089,order_00089,5,2017-10-04 17:00:00
rev_00090,order_00090,5,2017-10-05 16:00:00
rev_00091,order_00091,4,2017-10-03 20:00:00
rev_00092,order_00092,5,2017-10-03 17:00:00
rev_00093,order_00093,2,2017-10-07 12:00:00
rev_00094,order_00094,3,2017-10-06 13:00:00
rev_00095,order_00095,5,2017-10-11 11:00:00
rev_00096,order_00096,3,2017-10-07 17:00:00
rev_00097,order_00097,4,2017-10-01 08:00:00
rev_00098,order_00098,5,2017-10-02 18:00:00
rev_00099,order_00099,5,2017-10-06 18:00:00
rev_00100,order_00100,5,2017-10-05 11:00:00
rev_00101,order_00101,5,2017-10-12 14:00:00
rev_00102,order_00102,5,2017-10-09 13:00:00
rev_00103,order_00103,3,2017-10-14 13:00:00
rev_00104,order_00104,2,2017-10-18 20:00:00
rev_00105,order_00105,4,2017-10-15 13:00:00
rev_00106,order_00106,5,2017-10-11 16:00:00
rev_00107,order_00107,5,2017-10-16 10:00:00
rev_00108,order_00108,4,2017-10-15 11:00:00
rev_00109,order_00109,3,2017-10-15 14:00:00
rev_00110,order_00110,4,2017-10-16 20:00:00
rev_00111,order_00111,4,2017-10-14 15:00:00
rev_00112,order_00112,5,2017-10-13 12:00:00
rev_00113,order_00113,1,2017-10-11 12:00:00
rev_00114,order_00114,5,2017-10-14 17:00:00
rev_00115,order_00115,5,2017-10-17 20:00:00
rev_00116,order_00116,5,2017-10-11 20:00:00
rev_00117,order_00117,5,2017-10-18 10:00:00
rev_00118,order_00118,5,2017-10-10 16:00:00
rev_00119,order_00119,4,2017-10-12 14:00:00
rev_00120,order_00120,4,2017-10-13 12:00:00
rev_00121,order_00121,5,2017-10-15 21:00:00
rev_00122,order_00122,3,2017-10-15 12:00:00
rev_00123,order_00123,1,2017-10-12 21:00:00
rev_00124,order_00124,4,2017-10-07 11:00:00
rev_00125,order_00125,4,2017-10-11 11:00:00
rev_00126,order_00126,3,2017-10-08 16:00:00
rev_00127,order_00127,4,2017-10-16 21:00:00
rev_00128,order_00128,4,2017-10-10 18:00:00
rev_00129,order_00129,4,2017-10-15 18:00:00
rev_00130,order_00130,3,2017-10-12 14:00:00
rev_00131,order_00131,5,2017-10-13 12:00:00
rev_00132,order_00132,3,2017-10-11 20:00:00
rev_00133,order_00133,5,2017-10-08 21:00:00
rev_00134,order_00134,5,2017-10-21 12:00:00
rev_00135,order_00135,5,2017-10-14 21:00:00
rev_00136,order_00136,4,2017-10-18 09:00:00
rev_00137,order_00137,4,2017-10-17 10:00:00
rev_00138,order_00138,4,2017-10-24 19:00:00
rev_00139,order_00139,5,2017-10-20 17:00:00
rev_00140,order_00140,5,2017-10-18 18:00:00
rev_00141,order_00141,5,2017-10-15 21:00:00
rev_00142,order_00142,5,2017-10-18 20:00:00
rev_00143,order_00143,5,2017-10-21 16:00:00
rev_00144,order_00144,5,2017-10-16 17:00:00
rev_00145,order_00145,5,2017-10-16 11:00:00
rev_00146,order_00146,5,2017-10-21 10:00:00
rev_00147,order_00147,5,2017-10-14 09:00:00
rev_00148,order_00148,5,2017-10-17 11:00:00
rev_00149,order_00149,5,2017-10-18 21:00:00
rev_00150,order_00150,5,2017-10-22 16:00:00
rev_00151,order_00151,4,2017-10-22 08:00:00
rev_00152,order_00152,3,2017-10-16 14:00:00
rev_00153,order_00153,5,2017-10-20 11:00:00
rev_00154,order_00154,5,2017-10-19 13:00:00
rev_00155,order_00155,4,2017-10-19 14:00:00
rev_00156,order_00156,4,2017-10-19 15:00:00
rev_00157,order_00157,4,2017-10-18 09:00:00
rev_00158,order_00158,3,2017-10-20 08:00:00
rev_00159,order_00159,5,2017-10-18 20:00:00
rev_00160,order_00160,4,2017-10-19 20:00:00
rev_00161,order_00161,5,2017-10-23 18:00:00
rev_00162,order_00162,3,2017-10-20 15:00:00
rev_00163,order_00163,5,2017-10-20 17:00:00
rev_00164,order_00164,4,2017-10-25 13:00:00
rev_00165,order_00165,1,2017-10-23 17:00:00
rev_00166,order_00166,5,2017-10-29 18:00:00
rev_00167,order_00167,5,2017-10-27 12:00:00
rev_00168,order_00168,5,2017-10-27 19:00:00
rev_00169,order_00169,5,2017-10-23 20:00:00
rev_00170,order_00170,5,2017-10-27 13:00:00
rev_00171,order_00171,3,2017-10-26 08:00:00
rev_00172,order_00172,2,2017-10-21 16:00:00
rev_00173,order_00173,5,2017-10-25 12:00:00
rev_00174,order_00174,4,2017-10-28 16:00:00
rev_00175,order_00175,5,2017-10-27 12:00:00
rev_00176,order_00176,5,2017-10-23 21:00:00
rev_00177,order_00177,5,2017-10-24 18:00:00
rev_00178,order_00178,5,2017-10-27 17:00:00
rev_00179,order_00179,5,2017-10-25 14:00:00
rev_00180,order_00180,1,2017-10-27 21:00:00
rev_00181,order_00181,5,2017-10-29 21:00:00
rev_00182,order_00182,5,2017-10-26 21:00:00
rev_00183,order_00183,5,2017-10-31 12:00:00
rev_00184,order_00184,5,2017-10-30 09:00:00
rev_00185,order_00185,3,2017-10-27 14:00:00
rev_00186,order_00186,3,2017-10-31 12:00:00
rev_00187,order_00187,5,2017-10-30 17:00:00
rev_00188,order_00188,5,2017-10-27 08:00:00
rev_00189,order_00189,5,2017-10-23 17:00:00
rev_00190,order_00190,4,2017-10-27 20:00:00
rev_00191,order_00191,5,2017-10-24 11:00:00
rev_00192,order_00192,4,2017-10-29 10:00:00
rev_00193,order_00193,5,2017-10-26 15:00:00
rev_00194,order_00194,4,2017-10-25 13:00:00
rev_00195,order_00195,5,2017-10-24 15:00:00
rev_00196,order_00196,5,2017-10-23 11:00:00
rev_00197,order_00197,5,2017-10-28 18:00:00
rev_00198,order_00198,5,2017-10-26 17:00:00
rev_00199,order_00199,5,2017-10-23 16:00:00
rev_00200,order_00200,5,2017-10-28 21:00:00
rev_00201,order_00201,5,2017-10-27 09:00:00
rev_00202,order_00202,1,2017-10-29 20:00:00
rev_00203,order_00203,2,2017-10-29 19:00:00
rev_00204,order_00204,5,2017-10-23 14:00:00
rev_00205,order_00205,5,2017-10-30 15:00:00
rev_00206,order_00206,4,2017-10-31 17:00:00
rev_00207,order_00207,5,2017-10-31 14:00:00
rev_00208,order_00208,4,2017-10-31 16:00:00
rev_00209,order_00209,5,2017-10-30 10:00:00
rev_00210,order_00210,5,2017-10-23 19:00:00
rev_00211,order_00211,4,2017-11-01 10:00:00
rev_00212,order_00212,5,2017-10-23 19:00:00
rev_00213,order_00213,5,2017-10-24 08:00:00
rev_00214,order_00214,2,2017-10-28 11:00:00
rev_00215,order_00215,5,2017-10-26 08:00:00
rev_00216,order_00216,5,2017-11-01 12:00:00
rev_00217,order_00217,5,2017-10-29 21:00:00
rev_00218,order_00218,4,2017-10-27 14:00:00
rev_00219,order_00219,5,2017-10-24 09:00:00
rev_00220,order_00220,4,2017-10-24 13:00:00
rev_00221,order_00221,5,2017-10-27 18:00:00
rev_00222,order_00222,5,2017-10-30 10:00:00
rev_00223,order_00223,4,2017-10-24 12:00:00
rev_00224,order_00224,3,2017-10-24 09:00:00
rev_00225,order_00225,5,2017-10-31 12:00:00
rev_00226,order_00226,5,2017-10-28 09:00:00
rev_00227,order_00227,5,2017-10-25 16:00:00
rev_00228,order_00228,4,2017-10-24 15:00:00
rev_00229,order_00229,5,2017-10-29 19:00:00
rev_00230,order_00230,5,2017-10-25 15:00:00
rev_00231,order_00231,2,2017-10-29 20:00:00
rev_00232,order_00232,4,2017-10-30 21:00:00
rev_00233,order_00233,5,2017-10-26 17:00:00
rev_00234,order_00234,4,2017-10-25 08:00:00
rev_00235,order_00235,5,2017-10-23 16:00:00
rev_00236,order_00236,5,2017-11-04 12:00:00
rev_00237,order_00237,5,2017-10-30 20:00:00
rev_00238,order_00238,5,2017-11-03 10:00:00
rev_00239,order_00239,5,2017-11-05 09:00:00
rev_00240,order_00240,4,2017-11-01 10:00:00
rev_00241,order_00241,4,2017-11-01 18:00:00
rev_00242,order_00242,4,2017-10-30 08:00:00
rev_00243,order_00243,5,2017-11-04 20:00:00
rev_00244,order_00244,5,2017-11-03 12:00:00
rev_00245,order_00245,5,2017-11-04 21:00:00
rev_00246,order_00246,5,2017-11-04 13:00:00
rev_00247,order_00247,4,2017-11-04 19:00:00
rev_00248,order_00248,5,2017-11-04 20:00:00
rev_00249,order_00249,5,2017-11-04 20:00:00
rev_00250,order_00250,5,2017-11-02 20:00:00
rev_00251,order_00251,4,2017-11-02 18:00:00
rev_00252,order_00252,4,2017-11-02 19:00:00
rev_00253,order_00253,4,2017-11-02 20:00:00
rev_00254,order_00254,4,2017-10-31 10:00:00
rev_00255,order_00255,5,2017-11-03 12:00:00
rev_00256,order_00256,3,2017-10-29 20:00:00
rev_00257,order_00257,3,2017-11-05 11:00:00
rev_00258,order_00258,4,2017-11-06 16:00:00
rev_00259,order_00259,5,2017-10-29 08:00:00
rev_00260,order_00260,5,2017-11-05 12:00:00
rev_00261,order_00261,4,2017-11-03 19:00:00
rev_00262,order_00262,5,2017-11-06 13:00:00
rev_00263,order_00263,5,2017-11-06 19:00:00
rev_00264,order_00264,5,2017-11-03 16:00:00
