order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
order_00001,cust_00001,delivered,2017-09-04 21:00:00,2017-09-04 23:00:00,2017-09-05 21:00:00,2017-09-12 21:00:00,2017-09-16 21:00:00
order_00002,cust_00002,delivered,2017-09-04 16:00:00,2017-09-04 18:00:00,2017-09-05 16:00:00,2017-09-09 16:00:00,2017-09-16 16:00:00
order_00003,cust_00003,delivered,2017-09-09 09:00:00,2017-09-09 11:00:00,2017-09-10 09:00:00,2017-09-17 09:00:00,2017-09-21 09:00:00
order_00004,cust_00004,delivered,2017-09-06 16:00:00,2017-09-06 18:00:00,2017-09-07 16:00:00,2017-09-13 16:00:00,2017-09-18 16:00:00
order_00005,cust_00005,delivered,2017-09-08 15:00:00,2017-09-08 17:00:00,2017-09-09 15:00:00,2017-09-16 15:00:00,2017-09-20 15:00:00
order_00006,cust_00006,delivered,2017-09-06 18:00:00,2017-09-06 20:00:00,2017-09-07 18:00:00,2017-09-14 18:00:00,2017-09-18 18:00:00
order_00007,cust_00007,delivered,2017-09-07 08:00:00,2017-09-07 10:00:00,2017-09-08 08:00:00,2017-09-12 08:00:00,2017-09-19 08:00:00
order_00008,cust_00008,delivered,2017-09-07 16:00:00,2017-09-07 18:00:00,2017-09-08 16:00:00,2017-09-13 16:00:00,2017-09-19 16:00:00
order_00009,cust_00009,delivered,2017-09-05 08:00:00,2017-09-05 10:00:00,2017-09-06 08:00:00,2017-09-12 08:00:00,2017-09-17 08:00:00
order_00010,cust_00010,delivered,2017-09-05 19:00:00,2017-09-05 21:00:00,2017-09-06 19:00:00,2017-09-13 19:00:00,2017-09-17 19:00:00
order_00011,cust_00011,delivered,2017-09-07 10:00:00,2017-09-07 12:00:00,2017-09-08 10:00:00,2017-09-11 10:00:00,2017-09-19 10:00:00
order_00012,cust_00012,delivered,2017-09-09 12:00:00,2017-09-09 14:00:00,2017-09-10 12:00:00,2017-09-15 12:00:00,2017-09-21 12:00:00
order_00013,cust_00013,delivered,2017-09-04 10:00:00,2017-09-04 12:00:00,2017-09-05 10:00:00,2017-09-08 10:00:00,2017-09-16 10:00:00
order_00014,cust_00014,delivered,2017-09-05 13:00:00,2017-09-05 15:00:00,2017-09-06 13:00:00,2017-09-10 13:00:00,2017-09-17 13:00:00
order_00015,cust_00015,delivered,2017-09-06 19:00:00,2017-09-06 21:00:00,2017-09-07 19:00:00,2017-09-10 19:00:00,2017-09-18 19:00:00
order_00016,cust_00016,delivered,2017-09-09 13:00:00,2017-09-09 15:00:00,2017-09-10 13:00:00,2017-09-15 13:00:00,2017-09-21 13:00:00
order_00017,cust_00017,delivered,2017-09-08 21:00:00,2017-09-08 23:00:00,2017-09-09 21:00:00,2017-09-12 21:00:00,2017-09-20 21:00:00
order_00018,cust_00018,delivered,2017-09-04 19:00:00,2017-09-04 21:00:00,2017-09-05 19:00:00,2017-09-09 19:00:00,2017-09-16 19:00:00
order_00019,cust_00019,delivered,2017-09-07 18:00:00,2017-09-07 20:00:00,2017-09-08 18:00:00,2017-09-13 18:00:00,2017-09-19 18:00:00
order_00020,cust_00020,delivered,2017-09-05 21:00:00,2017-09-05 23:00:00,2017-09-06 21:00:00,2017-09-10 21:00:00,2017-09-17 21:00:00
order_00021,cust_00021,delivered,2017-09-10 10:00:00,2017-09-10 12:00:00,2017-09-11 10:00:00,2017-09-14 10:00:00,2017-09-22 10:00:00
order_00022,cust_00022,delivered,2017-09-08 08:00:00,2017-09-08 10:00:00,2017-09-09 08:00:00,2017-09-13 08:00:00,2017-09-20 08:00:00
order_00023,cust_00023,delivered,2017-09-12 11:00:00,2017-09-12 13:00:00,2017-09-13 11:00:00,2017-09-18 11:00:00,2017-09-24 11:00:00
order_00024,cust_00024,delivered,2017-09-15 17:00:00,2017-09-15 19:00:00,2017-09-16 17:00:00,2017-09-23 17:00:00,2017-09-27 17:00:00
order_00025,cust_00025,delivered,2017-09-11 14:00:00,2017-09-11 16:00:00,2017-09-12 14:00:00,2017-09-18 14:00:00,2017-09-23 14:00:00
order_00026,cust_00026,delivered,2017-09-12 19:00:00,2017-09-12 21:00:00,2017-09-13 19:00:00,2017-09-21 19:00:00,2017-09-24 19:00:00
order_00027,cust_00027,delivered,2017-09-12 18:00:00,2017-09-12 20:00:00,2017-09-13 18:00:00,2017-09-17 18:00:00,2017-09-24 18:00:00
order_00028,cust_00028,delivered,2017-09-15 12:00:00,2017-09-15 14:00:00,2017-09-16 12:00:00,2017-09-23 12:00:00,2017-09-27 12:00:00
order_00029,cust_00029,delivered,2017-09-12 12:00:00,2017-09-12 14:00:00,2017-09-13 12:00:00,2017-09-17 12:00:00,2017-09-24 12:00:00
order_00030,cust_00030,delivered,2017-09-16 09:00:00,2017-09-16 11:00:00,2017-09-17 09:00:00,2017-09-22 09:00:00,2017-09-28 09:00:00
order_00031,cust_00031,delivered,2017-09-15 19:00:00,2017-09-15 21:00:00,2017-09-16 19:00:00,2017-09-20 19:00:00,2017-09-27 19:00:00
order_00032,cust_00032,delivered,2017-09-13 15:00:00,2017-09-13 17:00:00,2017-09-14 15:00:00,2017-09-21 15:00:00,2017-09-25 15:00:00
order_00033,cust_00033,delivered,2017-09-12 16:00:00,2017-09-12 18:00:00,2017-09-13 16:00:00,2017-09-19 16:00:00,2017-09-24 16:00:00
order_00034,cust_00034,delivered,2017-09-17 19:00:00,2017-09-17 21:00:00,2017-09-18 19:00:00,2017-09-26 19:00:00,2017-09-29 19:00:00
order_00035,cust_00035,delivered,2017-09-16 12:00:00,2017-09-16 14:00:00,2017-09-17 12:00:00,2017-09-24 12:00:00,2017-09-28 12:00:00
order_00036,cust_00036,delivered,2017-09-11 13:00:00,2017-09-11 15:00:00,2017-09-12 13:00:00,2017-09-18 13:00:00,2017-09-23 13:00:00
order_00037,cust_00037,delivered,2017-09-13 18:00:00,2017-09-13 20:00:00,2017-09-14 18:00:00,2017-09-18 18:00:00,2017-09-25 18:00:00
order_00038,cust_00038,delivered,2017-09-15 18:00:00,2017-09-15 20:00:00,2017-09-16 18:00:00,2017-09-20 18:00:00,2017-09-27 18:00:00
order_00039,cust_00039,delivered,2017-09-12 18:00:00,2017-09-12 20:00:00,2017-09-13 18:00:00,2017-09-18 18:00:00,2017-09-24 18:00:00
order_00040,cust_00040,delivered,2017-09-15 16:00:00,2017-09-15 18:00:00,2017-09-16 16:00:00,2017-09-19 16:00:00,2017-09-27 16:00:00
order_00041,cust_00041,delivered,2017-09-12 11:00:00,2017-09-12 13:00:00,2017-09-13 11:00:00,2017-09-21 11:00:00,2017-09-24 11:00:00
order_00042,cust_00042,delivered,2017-09-13 12:00:00,2017-09-13 14:00:00,2017-09-14 12:00:00,2017-09-22 12:00:00,2017-09-25 12:00:00
order_00043,cust_00043,delivered,2017-09-13 15:00:00,2017-09-13 17:00:00,2017-09-14 15:00:00,2017-09-20 15:00:00,2017-09-25 15:00:00
order_00044,cust_00044,delivered,2017-09-18 21:00:00,2017-09-18 23:00:00,2017-09-19 21:00:00,2017-09-26 21:00:00,2017-09-30 21:00:00
